t,ball_x,ball_y,holder_id,holder_team,reward,team0_r,team1_r
87894,632.4611511230469,164.0856704711914,51565,1,0.0,0.0,0.01
87896,637.0018005371094,164.44112396240234,51565,1,0.0,0.0,0.01
87897,638.0341186523438,164.58712005615234,51565,1,0.0,0.0,0.01
87971,567.5535888671875,138.01245880126953,51565,1,0.0,0.0,0.01
87973,552.4757385253906,147.9496307373047,51565,1,0.0,0.0,0.01
87975,544.2962646484375,152.82469177246094,51565,1,0.0,0.0,0.01
87981,519.9175720214844,179.0033187866211,51565,1,0.0,0.0,0.01
87988,507.6099548339844,202.9191131591797,51565,1,0.0,0.0,0.01
87990,503.92649841308594,212.2201690673828,51565,1,0.0,0.0,0.01
87992,500.30279541015625,222.8601531982422,51565,1,0.0,0.0,0.01
87993,499.2370147705078,223.82845306396484,51565,1,0.0,0.0,0.01
87994,498.53668212890625,221.11066436767578,51565,1,0.0,0.0,0.01
87995,498.37916564941406,220.3692626953125,51565,1,0.0,0.0,0.01
87997,497.13340759277344,214.5545196533203,51565,1,0.0,0.0,0.01
87998,496.6535949707031,212.8312530517578,51565,1,0.0,0.0,0.01
87999,495.9180603027344,210.00929260253906,51565,1,0.0,0.0,0.01
88000,495.7530059814453,209.19205474853516,51565,1,0.0,0.0,0.01
88001,495.448486328125,208.18987274169922,51565,1,0.0,0.0,0.01
88002,494.7044982910156,207.56231689453125,51565,1,0.0,0.0,0.01
88003,494.4347381591797,207.40589141845703,51565,1,0.0,0.0,0.01
88004,493.96949768066406,207.07058715820312,51565,1,0.0,0.0,0.01
88005,492.84051513671875,207.19971466064453,51565,1,0.0,0.0,0.01
88006,492.4422912597656,207.2777099609375,51565,1,0.0,0.0,0.01
88007,491.90626525878906,208.00607299804688,51565,1,0.0,0.0,0.01
88008,491.18153381347656,210.85649871826172,51565,1,0.0,0.0,0.01
88009,490.9867858886719,210.60560607910156,51565,1,0.0,0.0,0.01
88010,490.1637420654297,211.61888885498047,51565,1,0.0,0.0,0.01
88012,488.4129180908203,216.65534210205078,51565,1,0.0,0.0,0.01
88014,487.34234619140625,221.708740234375,51565,1,0.0,0.0,0.01
88015,489.2525634765625,223.14971160888672,51565,1,0.0,0.0,0.01
88016,489.88926696777344,223.63562774658203,51565,1,0.0,0.0,0.01
88017,492.0490417480469,225.85172271728516,51565,1,0.0,0.0,0.01
