from,to,count
84041,83907,1
84108,84173,1
84150,84236,1
84173,84150,1
84223,84150,1
84236,84223,1
84255,84150,1
84329,84419,1
84382,84504,1
84419,84442,1
84437,84382,1
84504,84607,1
84593,84568,1
84597,84573,1
84607,84552,1
84628,84597,1
84725,84795,1
84782,84917,1
84794,84782,1
84795,84794,1
84917,84939,1
84939,84969,1
84969,85030,1
85030,84996,1
85061,85108,1
85154,85058,1
85154,85268,1
85209,85154,1
85268,85322,1
85293,85339,1
85301,85340,1
85322,85301,1
85340,85209,1
85394,85781,1
85781,85846,1
85846,85849,1
85849,85930,1
85903,86036,1
85905,85955,1
85930,85905,1
85955,85903,1
86036,86057,1
86036,86148,1
86057,86036,1
86148,86248,1
86148,86266,1
86248,86368,1
86288,86148,1
86368,86390,1
86390,86440,1
86440,86510,1
86440,86517,1
86440,86609,1
86501,86718,1
86517,86440,2
86607,86501,1
86644,86607,1
86741,86814,2
86814,86741,1
86814,86923,1
86923,86995,1
86996,87009,1
87009,87140,1
87111,87180,1
87140,87111,1
87180,87349,1
87185,87180,1
87349,87330,1
87353,87423,1
87369,87808,1
87405,87353,1
87808,87814,1
87857,87907,1
87907,87857,1
87970,88020,1
88007,88331,1
88020,88041,1
88039,88199,1
88041,88039,1
88063,88007,1
88136,88269,1
88199,88203,1
88203,88136,1
88357,88452,1
88358,88399,1
88371,88357,1
88399,88523,1
88432,88399,1
88504,88621,1
88523,88504,1
88615,88658,1
88621,88676,1
88658,88615,1
88676,88552,1
88676,88681,1
88676,88760,1
88751,88676,1
88760,88929,1
88913,89190,1
88928,88985,1
88929,88928,1
88985,88913,1
89190,89404,1
89404,89429,1
89415,89569,1
89429,89415,1
89586,89601,1
89621,89727,1
89625,89633,1
89633,89598,1
89635,89625,1
89727,89813,1
89813,89850,1
89844,89849,1
89850,89883,1
89867,89872,1
89872,90009,1
89883,89839,1
89885,89867,1
90009,90038,1
90110,90136,1
90114,90392,1
90136,90114,1
90392,90490,1
90452,90527,1
90527,90626,1
90624,91060,1
90626,90604,1
90751,90666,1
91060,91161,1
91172,91188,2
91188,91172,1
91188,91399,1
91319,91483,1
91399,91319,1
91551,91651,1
91635,91796,1
91635,91819,1
91651,91687,1
91687,91745,1
91745,91635,1
91753,91785,1
91785,91753,1
91785,91872,1
91796,91785,1
91819,91796,2
91872,91879,1
91879,92331,1
92331,92332,1
92332,92397,1
92423,92444,1
92427,92432,1
92427,92468,1
92436,92469,2
92444,92469,1
92444,92568,1
92469,92423,1
92469,92658,1
92568,92739,1
92607,92686,1
92677,92705,1
92687,92927,1
92705,92677,1
92739,92687,1
92927,92994,1
92998,92607,1
92999,92994,1
92999,92998,1
93081,93384,1
93384,93414,1
93414,93560,1
93560,93592,1
93592,93752,1
93749,93772,1
93751,93749,1
93751,93915,1
93763,93751,1
93915,93916,1
93916,93930,1
93930,93915,1
94035,94052,1
94052,94267,1
94083,94035,1
94267,94378,1
94378,94456,1
94456,94502,1
94502,94516,1
94509,94703,1
94693,94754,1
94694,94700,1
94699,94756,1
94700,95099,1
94761,94694,1
94778,94860,1
95083,95223,1
95084,95083,1
95099,95084,1
95213,95223,1
95223,95276,1
95337,95340,1
95337,95470,1
95340,95395,1
95395,95397,1
95510,95565,1
95522,95510,1
95546,95567,1
95565,95546,1
95567,95633,1
95632,95718,1
95652,95710,1
95700,95696,1
95706,95890,1
95718,95761,1
95761,95788,1
95788,95797,1
95828,95706,1
95828,95735,1
95890,96081,1
96003,96401,1
96081,96149,1
96149,96197,1
96401,96446,1
96446,96506,1
96506,96676,1
96667,96711,1
96679,96704,1
96697,96667,1
96704,96784,1
96840,96842,1
96842,96900,1
96900,96904,1
96904,96985,1
96985,97067,1
97086,97202,1
97101,97086,1
97207,97234,1
97233,97234,1
97234,97236,1
97236,97242,1
97302,97327,1
97327,97379,1
97382,97397,1
97397,97440,1
97398,97569,1
97401,97582,1
97440,97462,1
97462,97398,1
97483,97569,1
97569,97673,1
97569,97737,1
97582,97590,1
97737,97760,1
97760,97802,1
97776,97872,1
97780,97789,1
97870,97901,1
97962,97971,1
97986,97991,1
98060,98289,1
98086,98060,1
98289,98381,1
98383,98571,1
98407,98352,1
98408,98507,1
98507,98383,1
98569,98783,1
98571,98407,1
